Cores: 2, Threads: 2, Image: 592x480.png, Time: 0.8081 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 2.0577 sec
Cores: 8, Threads: 8, Image: 592x480.png, Time: 4.5699 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 3.3091 sec
Cores: 1, Threads: 1, Image: 592x480.png, Time: 1.1141 sec
Cores: 1, Threads: 1, Image: 592x480.png, Time: 1.1121 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.9339 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.5771 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.5872 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 3.2548 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.6601 sec
Cores: 1, Threads: 1, Image: 592x480.png, Time: 1.1735 sec
Cores: 1, Threads: 1, Image: 592x480.png, Time: 1.1734 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 0.8155 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.4984 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.9001 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 3.2602 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 0.8103 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 2.9887 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.4695 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.9951 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 3.4913 sec
Cores: 1, Threads: 1, Image: 592x480.png, Time: 1.1711 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 2.2128 sec
Cores: 8, Threads: 8, Image: 592x480.png, Time: 3.4298 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.5778 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.9373 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.5698 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.8815 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 3.2362 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.4092 sec
Cores: 2, Threads: 2, Image: 896x768.png, Time: 2.2570 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.9256 sec
Cores: 4, Threads: 4, Image: 592x480.png, Time: 1.9382 sec
Cores: 2, Threads: 2, Image: 592x480.png, Time: 1.4873 sec
